Flight No.,Date,Time,Version Booster,Launch Site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
1,4 June 2010,18:45,F9 v1.07B0003.18,"CCAFS,SLC-40",Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success,Failure
2,8 December 2010,15:43,F9 v1.07B0004.18,"CCAFS,SLC-40",Dragondemo flight C1(Dragon C101),0,LEO(ISS),NASA(COTS)NRO,Success,Failure
3,22 May 2012,07:44,F9 v1.07B0005.18,"CCAFS,SLC-40",Dragondemo flight C2+[18](Dragon C102),525 kg,LEO(ISS),NASA(COTS),Success,"No attempt
"
4,8 October 2012,00:35,F9 v1.07B0006.18,"CCAFS,SLC-40",SpaceX CRS-1[22](Dragon C103),"4,700 kg",LEO(ISS),NASA(CRS),Success,No attempt
5,1 March 2013,15:10,F9 v1.07B0007.18,"CCAFS,SLC-40",SpaceX CRS-2[22](Dragon C104),"4,877 kg",LEO(ISS),NASA(CRS),Success,"No attempt
"
6,29 September 2013,16:00,F9 v1.17B10038,"VAFB,SLC-4E",CASSIOPE[22][31],500 kg,Polar orbitLEO,MDA,Success,Uncontrolled
7,3 December 2013,22:41,F9 v1.1B1004,"CCAFS,SLC-40",SES-8[22][35][36],"3,170 kg",GTO,SES,Success,No attempt
8,6 January 2014,22:06,F9 v1.1,"CCAFS,SLC-40",Thaicom 6[22],"3,325 kg",GTO,Thaicom,Success,No attempt
9,18 April 2014,19:25,F9 v1.1,"Cape Canaveral,LC-40",SpaceX CRS-3[22](Dragon C105),"2,296 kg",LEO(ISS),NASA(CRS),Success,Controlled
10,14 July 2014,15:15,F9 v1.1,"Cape Canaveral,LC-40",Orbcomm-OG2-1(6 satellites)[22],"1,316 kg",LEO,Orbcomm,Success,Controlled
11,5 August 2014,08:00,F9 v1.1,"Cape Canaveral,LC-40",AsiaSat 8[22][54][55],"4,535 kg",GTO,AsiaSat,Success,No attempt
12,7 September 2014,05:00,F9 v1.1[,"Cape Canaveral,LC-40",AsiaSat 6[22][54][58],"4,428 kg",GTO,AsiaSat,Success,"No attempt
"
13,21 September 2014,05:52,F9 v1.1[,"Cape Canaveral,LC-40",SpaceX CRS-4[22](DragonC106.1),"2,216 kg",LEO(ISS),NASA(CRS),Success,Uncontrolled
14,10 January 2015,09:47,F9 v1.1[,"Cape Canaveral,LC-40",SpaceX CRS-5[68](Dragon C107),"2,395 kg",LEO(ISS),NASA(CRS),Success,Failure 
15,11 February 2015,23:03,F9 v1.1[,"Cape Canaveral,LC-40",DSCOVR[68][73],570 kg,HEO(Sun–Earth L1insertion),USAFNASANOAA,Success,Controlled
16,2 March 2015,03:50,F9 v1.1[,"Cape Canaveral,LC-40",ABS-3AEutelsat 115 West B[68],"4,159 kg",GTO,ABSEutelsat,Success,No attempt
17,14 April 2015,20:10,F9 v1.1[,"Cape Canaveral,LC-40",SpaceX CRS-6[68](DragonC108.1),"1,898 kg",LEO(ISS),NASA(CRS),Success,Failure
18,27 April 2015,23:03,F9 v1.1[,"Cape Canaveral,LC-40",TürkmenÄlem 52°E / MonacoSAT[68][87],"4,707 kg",GTO,Turkmenistan NationalSpace Agency[88],Success,No attempt
19,28 June 2015,14:21,F9 v1.1[,"Cape Canaveral,LC-40",SpaceX CRS-7[68](Dragon C109),"1,952 kg",LEO(ISS),NASA(CRS),Failure,Precluded
20,22 December 2015,01:29,F9 FT[,"Cape Canaveral,LC-40",Orbcomm-OG2-2(11 satellites)[22][97],"2,034 kg",LEO,Orbcomm,Success,Success
21,17 January 2016,18:42,F9 v1.1[,"VAFB,SLC-4E",Jason-3[68][104],553 kg,LEO,NASA(LSP)NOAACNES,Success,Failure
22,4 March 2016,23:35,F9 FT[,"Cape Canaveral,LC-40",SES-9[68][109][110],"5,271 kg",GTO,SES,Success,Failure
23,8 April 2016,20:43,F9 FT[,"Cape Canaveral,LC-40",SpaceX CRS-8[68][110](Dragon C110.1),"3,136 kg",LEO(ISS),NASA(CRS),Success,Success
24,6 May 2016,05:21,F9 FT[,"Cape Canaveral,LC-40",JCSAT-14[123],"4,696 kg",GTO,SKY Perfect JSAT Group,Success,Success
25,27 May 2016,21:39,F9 FT[,"Cape Canaveral,LC-40",Thaicom 8[130][131],"3,100 kg",GTO,Thaicom,Success,Success
26,15 June 2016,14:29,F9 FT[,"Cape Canaveral,LC-40",ABS-2AEutelsat 117 West B[68],"3,600 kg",GTO,ABSEutelsat,Success,Failure
27,18 July 2016,04:45,F9 FT[,"Cape Canaveral,LC-40",SpaceX CRS-9[68][141](Dragon C111.1),"2,257 kg",LEO(ISS),NASA(CRS),Success,Success
28,14 August 2016,05:26,F9 FT[,"Cape Canaveral,LC-40",JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,Success,Success
29,14 January 2017,17:54,F9 FT[,"VAFB,SLC-4E",Iridium NEXT-1(10 satellites)[152][153],"9,600 kg",PolarLEO,Iridium Communications,Success,Success
30,19 February 2017,14:39,F9 FT[,"KSC,LC-39A",SpaceX CRS-10[141](Dragon C112.1),"2,490 kg",LEO(ISS),NASA(CRS),Success,Success
31,16 March 2017,06:00,F9 FT[,"KSC,LC-39A",EchoStar 23,"5,600 kg",GTO,EchoStar,Success,No attempt
32,30 March 2017,22:27,F9 FT♺[,"KSC,LC-39A",SES-10[109][168],"5,300 kg",GTO,SES,Success,Success
33,1 May 2017,11:15,F9 FT[,"KSC,LC-39A",NROL-76[174],C,LEO[175],NRO,Success,Success
34,15 May 2017,23:21,F9 FT[,"KSC,LC-39A",Inmarsat-5 F4[180],"6,070 kg",GTO,Inmarsat,Success,No attempt
35,3 June 2017,21:07,F9 FT[,"KSC,LC-39A",SpaceX CRS-11[141](Dragon C106.2 ♺),"2,708 kg",LEO(ISS),NASA(CRS),Success,Success
36,23 June 2017,19:10,F9 FTB1029.2195,"KSC,LC-39A",BulgariaSat-1[196],"3,669 kg",GTO,Bulsatcom,Success,Success
37,25 June 2017,20:25,F9 FT[,"VAFB,SLC-4E",Iridium NEXT-2(10 satellites),"9,600 kg",LEO,Iridium Communications,Success,Success
38,5 July 2017,23:38,F9 FT[,"KSC,LC-39A",Intelsat 35e[201],"6,761 kg",GTO,Intelsat,Success,No attempt
39,14 August 2017,16:31,F9 B4[,"KSC,LC-39A",SpaceX CRS-12[141](Dragon C113.1),"3,310 kg",LEO(ISS),NASA(CRS),Success,Success
40,24 August 2017,18:51,F9 FT[,"VAFB,SLC-4E",Formosat-5[210][211],475 kg,SSO,NSPO,Success,Success
41,7 September 2017,14:00,F9 B4[,"KSC,LC-39A",Boeing X-37BOTV-5,"4,990 kg",LEO,USAF,Success,Success
42,9 October 2017,12:37,F9 B4[,"VAFB,SLC-4E",Iridium NEXT-3(10 satellites)[152],"9,600 kg",PolarLEO,Iridium Communications,Success,Success
43,11 October 2017,22:53:00,F9 FTB1031.2220,"KSC,LC-39A",SES-11/EchoStar 105,"5,200 kg",GTO,SES S.A.EchoStar,Success,Success
44,30 October 2017,19:34,F9 B4[,"KSC,LC-39A",Koreasat 5A[222],"3,500 kg",GTO,KT Corporation,Success,Success
45,15 December 2017,15:36,F9 FTB1035.2227,"Cape Canaveral,SLC-40",SpaceX CRS-13[141](Dragon C108.2 ♺),"2,205 kg",LEO(ISS),NASA(CRS),Success,Success
46,23 December 2017,01:27,F9 FTB1036.2227,"VAFB,SLC-4E",Iridium NEXT-4(10 satellites)[152],"9,600 kg",PolarLEO,Iridium Communications,Success,Controlled
47,8 January 2018,01:00,F9 B4[,"CCAFS,SLC-40",Zuma[238][239][240],C,LEO,Northrop Grumman[f][238],Success,Success
48,31 January 2018,21:25,F9 FTB1032.2245,"CCAFS,SLC-40",GovSat-1(SES-16)[246],"4,230 kg",GTO,SES,Success,Controlled
49,22 February 2018,14:17,F9 FTB1038.2268,"VAFB,SLC-4E",Paz[269]Tintin A and Tintin B[270],"2,150 kg",SSO,HisdesatexactEarthSpaceX,Success,No attempt
50,6 March 2018,05:33,F9 B4[,"CCAFS,SLC-40",Hispasat 30W-6[277]PODSat[278],"6,092 kg",GTO,Hispasat[277]NovaWurks,Success,No attempt
51,30 March 2018,14:14,F9 B4B1041.2268,"VAFB,SLC-4E",Iridium NEXT-5(10 satellites)[152],"9,600 kg",PolarLEO,Iridium Communications,Success,No attempt
52,2 April 2018,20:30,F9 B4B1039.2292,"CCAFS,SLC-40",SpaceX CRS-14[141](Dragon C110.2 ♺),"2,647 kg",LEO(ISS),NASA(CRS),Success,No attempt
53,18 April 2018,22:51,F9 B4[,"CCAFS,SLC-40",Transiting Exoplanet Survey Satellite(TESS)[304],362 kg,HEOforP/2 orbit,NASA(LSP),Success,Success
54,11 May 2018,20:14,F9 B5311B1046.1268,"KSC,LC-39A",Bangabandhu-1[312][313],"3,600 kg",GTO,Thales-Alenia/BTRC,Success,Success
55,22 May 2018,19:47,F9 B4B1043.2322,"VAFB,SLC-4E",Iridium NEXT-6(5 satellites)[152][155]GRACE-FO× 2[323][324],"6,460 kg",PolarLEO,Iridium CommunicationsGFZ•NASA,Success,No attempt
56,4 June 2018,04:45,F9 B4B1040.2268,"CCAFS,SLC-40",SES-12[331],"5,384 kg",GTO,SES,Success,No attempt
57,29 June 2018,09:42,F9 B4B1045.2336,"CCAFS,SLC-40",SpaceX CRS-15(Dragon C111.2 ♺),"2,697 kg",LEO(ISS),NASA(CRS),Success,No attempt
58,22 July 2018,05:50,F9 B5,"CCAFS,SLC-40",Telstar 19V[341],"7,075 kg",GTO[343],Telesat,Success,Success
59,25 July 2018,11:39,F9 B5349B1048[,"VAFB,SLC-4E",Iridium NEXT-7(10 satellites)[152],"9,600 kg",PolarLEO,Iridium Communications,Success,Success
60,7 August 2018,05:18,F9 B5B1046.2354,"CCAFS,SLC-40",Merah Putih(formerly Telkom 4)[355][356],"5,800 kg",GTO,Telkom Indonesia,Success,Success
61,10 September 2018,04:45,F9 B5[,"CCAFS,SLC-40",Telstar 18V/Apstar-5C[341],"7,060 kg",GTO[361],Telesat,Success,Success
62,8 October 2018,02:22,F9 B5B1048.2364,"VAFB,SLC-4E",SAOCOM 1A[365][366],"3,000 kg",SSO,CONAE,Success,Success
63,15 November 2018,20:46,F9 B5B1047.2268,"KSC,LC-39A",Es'hail 2[368],"5,300 kg",GTO,Es'hailSat,Success,Success
64,3 December 2018,18:34:05,F9 B5B1046.3268,"VAFB,SLC-4E",SSO-A(SmallSat Express),"~4,000 kg",SSO,Spaceflight Industries,Success,Success
65,5 December 2018,18:16,F9 B5[,"CCAFS,SLC-40",SpaceX CRS-16(Dragon C112.2♺ ),"2,500 kg",LEO(ISS),NASA(CRS),Success,Failure
66,23 December 2018,13:51,F9 B5[,"CCAFS,SLC-40",GPS III-01(Vespucci),"4,400 kg",MEO,USAF,Success,No attempt
67,11 January 2019,15:31,F9 B5B1049.2397,"VAFB,SLC-4E",Iridium NEXT-8(10 satellites)[152],"9,600 kg",PolarLEO,Iridium Communications,Success,Success
68,22 February 2019,01:45,F9 B5B1048.3399,"CCAFS,SLC-40",Nusantara Satu(PSN-6)[400]BeresheetMoon lander[401]S5[402],"4,850 kg",GTO,PSNSpaceIL/IAIAir Force Research,Success,Success
69,2 March 2019,07:49,F9 B5[]413,"KSC,LC-39A",Crew Dragon Demo-1[414](Dragon C201),"12,055 kg",LEO(ISS),NASA(CCD),Success,Success
70,4 May 2019,06:48,F9 B5[,"CCAFS,SLC-40",SpaceX CRS-17[141](Dragon C113.2 ♺),"2,495 kg",LEO(ISS),NASA(CRS),Success,Success
71,24 May 2019,02:30,F9 B5B1049.3434,"CCAFS,SLC-40",Starlinkv0.9(60 satellites),"13,620 kg",LEO,SpaceX,Success,Success
72,12 June 2019,14:17,F9 B5B1051.2420,"VAFB,SLC-4E",RADARSAT Constellation(3 satellites),"4,200 kg",SSO,Canadian Space Agency(CSA),Success,Success
73,25 July 2019,22:01,F9 B5B1056.2465,CCAFSSLC-40,SpaceX CRS-18[141](Dragon C108.3 ♺),"2,268 kg",LEO(ISS),NASA(CRS),Success,Success
74,6 August 2019,23:23,F9 B5B1047.3472,"CCAFS,SLC-40",AMOS-17[473],"6,500 kg",GTO,Spacecom,Success,No attempt
75,11 November 2019,14:56,F9 B5,"CCAFS,SLC-40",Starlink1 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
76,5 December 2019,17:29,F9 B5[,"CCAFS,SLC-40",SpaceX CRS-19[483](Dragon C106.3 ♺),"2,617 kg",LEO(ISS),NASA(CRS),Success,Success
77,17 December 2019,00:10,F9 B5B1056.3482,"CCAFS,SLC-40",JCSat-18/Kacific 1[487],"6,956 kg",GTO,Sky Perfect JSATKacific 1,Success,Success
78,7 January 2020,02:19:21,F9 B5,"CCAFS,SLC-40",Starlink2 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
79,19 January 2020,15:30,F9 B5,"KSC,LC-39A",Crew Dragon in-flight abort test[495](Dragon C205.1),"12,050 kg",Sub-orbital[496],NASA(CTS)[497],Success,"No attempt
"
80,29 January 2020,14:07,F9 B5,"CCAFS,SLC-40",Starlink3 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
81,17 February 2020,15:05,F9 B5,"CCAFS,SLC-40",Starlink4 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Failure
82,7 March 2020,04:50,F9 B5,"CCAFS,SLC-40",SpaceX CRS-20(Dragon C112.3 ♺),"1,977 kg",LEO(ISS),NASA(CRS),Success,Success
83,18 March 2020,12:16,F9 B5,"KSC,LC-39A",Starlink5 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Failure
84,22 April 2020,19:30,F9 B5,"KSC,LC-39A",Starlink6 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
85,30 May 2020,19:22,F9 B5[,"KSC,LC-39A",Crew Dragon Demo-2[414](Crew Dragon C206.1Endeavour),"12,530 kg",LEO(ISS),NASA(CCDev),Success,Success
86,4 June 2020,01:25,F9 B5,"CCAFS,SLC-40",Starlink7 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
87,13 June 2020,09:21,F9 B5,"CCAFS,SLC-40","Starlink8 v1.0 (58 satellites),[524][525]SkySats-16, -17, -18","15,410 kg",LEO,SpaceXPlanet Labs,Success,Success
88,30 June 2020,20:10:46,F9 B5,"CCAFS,SLC-40",GPS III-03(Matthew Henson),"4,311 kg",MEO,U.S. Space Force[530],Success,Success
89,20 July 2020,21:30,F9 B5B1058.2544,"CCAFS,SLC-40",ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,Success,Success
90,7 August 2020,05:12,F9 B5,"KSC,LC-39A","Starlink9 v1.0 (57 Satellites),[524]SXRS-1 (BlackSky Global 7 and 8)","14,932 kg",LEO,SpaceXSpaceflight Industries(BlackSky),Success,Success
91,18 August 2020,14:31,F9 B5B1049.6544,"CCAFS,SLC-40","Starlink10 v1.0 (58 satellites)SkySat-19, -20, -21","~15,440 kg",LEO,SpaceXPlanet Labs,Success,Success
92,30 August 2020,23:18,F9 B5,"CCAFS,SLC-40",SAOCOM 1B[556]GNOMES 1[556]Tyvak-0172[557],"3,130 kg",SSO,CONAEPlanetIQTyvak,Success,Success
93,3 September 2020,12:46:14,F9 B5B1060.2563,"KSC,LC-39A",Starlink11 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
94,6 October 2020,11:29:34,F9 B5B1058.3565,"KSC,LC-39A",Starlink12 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
95,18 October 2020,12:25:57,F9 B5B1051.6568,"KSC,LC-39A",Starlink13 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
96,24 October 2020,15:31:34,F9 B5,"CCAFS,SLC-40",Starlink14 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
97,5 November 2020,23:24:23,F9 B5,"CCAFS,SLC-40",GPS III-04(Sacagawea)[541][573],"4,311 kg",MEO,USSF,Success,Success
98,16 November 2020,00:27,F9 B5[,"KSC,LC-39A",Crew-1(Crew Dragon C207.1Resilience),"~12,500 kg",LEO(ISS),NASA(CCP)[497],Success,Success
99,21 November 2020,17:17:08,F9 B5,"VAFB,SLC-4E",Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA/NOAA/ESA/EUMETSAT,Success,Success
100,25 November 2020,02:13,F9 B5 ♺[,"CCAFS,SLC-40",Starlink15 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
101,6 December 2020,16:17:08,F9 B5 ♺[,"KSC,LC-39A",SpaceX CRS-21(Dragon C208.1),"2,972 kg",LEO(ISS),NASA(CRS),Success,Success
102,13 December 2020,17:30:00,F9 B5 ♺,"CCSFS,SLC-40[597]",SXM-7,"7,000 kg",GTO,Sirius XM,Success,Success
103,19 December 2020,14:00:00,F9 B5 ♺,"KSC,LC-39A",NROL-108,C,LEO,NRO,Success,Success
104,8 January 2021,02:15,F9 B5,"CCSFS,SLC-40",Türksat 5A[605],"3,500 kg",GTO,Türksat,Success,Success
105,20 January 2021,13:02,F9 B5B1051.8609,"KSC,LC-39A",Starlink16 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
106,24 January 2021,15:00,F9 B5B1058.5613,"CCSFS,SLC-40",Transporter-1(143 smallsat rideshare),"~5,000 kg",SSO,Various,Success,Success
107,4 February 2021,06:19,F9 B5 ♺[,"CCSFS,SLC-40",Starlink18 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
108,16 February 2021,03:59:37,F9 B5 ♺,"CCSFS,SLC-40",Starlink19 v1.0 (60 satellites)[627],"15,600 kg",LEO,SpaceX,Success,Failure
109,4 March 2021,08:24,F9 B5 ♺[,"KSC,LC-39A",Starlink17 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
110,11 March 2021,08:13:29,F9 B5 ♺[,"CCSFS,SLC-40",Starlink20 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
111,14 March 2021,10:01,F9 B5 ♺,"KSC,LC-39A",Starlink21 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
112,24 March 2021,08:28,F9 B5B1060.6643,"CCSFS,SLC-40",Starlink22 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
113,7 April 2021,16:34,F9 B5 ♺,"CCSFS,SLC-40",Starlink23 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
114,23 April 2021,9:49,F9 B5B1061.2647,"KSC,LC-39A",Crew-2(Crew Dragon C206.2Endeavour♺),"~13,000 kg",LEO(ISS),NASA(CTS)[497],Success,Success
115,29 April 2021,03:44,F9 B5B1060.7652,"CCSFS,SLC-40",Starlink24 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
116,4 May 2021,19:01,F9 B5B1049.9655,"KSC,LC-39A",Starlink25 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
117,9 May 2021,06:42,F9 B5B1051.10657,"CCSFS,SLC-40",Starlink27 v1.0 (60 satellites),"15,600 kg",LEO,SpaceX,Success,Success
118,15 May 2021,22:56,F9 B5B1058.8660,"KSC,LC-39A[661]",Starlink26 v1.0 (52 Satellites)Capella-6 &Tyvak-0130[662],"~14,000 kg",LEO,SpaceXCapella SpaceandTyvak,Success,Success
119,26 May 2021,18:59,F9 B5B1063.2665,"CCSFS,SLC-40[665]",Starlink28 v1.0 (60 Satellites)[665],"15,600 kg",LEO,SpaceX,Success,Success
120,3 June 2021,17:29,F9 B5B1067.1668,"KSC,LC-39A",SpaceX CRS-22(Dragon C209.1),"3,328 kg",LEO(ISS),NASA(CRS),Success,Success
121,6 June 2021,04:26,F9 B5,"CCSFS,SLC-40",SXM-8[674],"7,000 kg",GTO,Sirius XM,Success,Success
